id,title
1,"Acting Hand of the King (former)"
2,"Admiral of the Narrow Sea"
3,"Admiral"
4,"Archmaester"
5,"Beacon of the South"
6,"Big Bucket"
7,"Black Bride"
8,"Blood of the Harpy"
9,"Bloodrider of Daenerys Targaryen"
10,"Bloodrider of Khal Drogo"
11,"Bloodrider of Khal Jhaqo"
12,"Bloodrider"
13,"Blue Grace"
14,"Breaker of Shackles/Chains"
15,"Brother"
16,"Captain of Cobblecat"
17,"Captain of Foamdrinker"
18,"Captain of Lannister household guard"
19,"Captain of Red Jester"
20,"Captain of Sea Bitch"
21,"Captain of Swiftfin"
22,"Captain of the Black Wind"
23,"Captain of the Golden Storm (formerly)"
24,"Captain of the Great Kraken"
25,"Captain of the Guard at Sunspear"
26,"Captain of the guard"
27,"Captain of the guards at Riverrun"
28,"Captain of the guards for Winterfell"
29,"Captain of the Guards"
30,"Captain of the Lady Marya"
31,"Captain of the Lord Quellon"
32,"Captain of the Mud Gate"
33,"Captain of the Nightflyer"
34,"Captain of the Sea Song"
35,"Captain of the Silence"
36,"Captain of the Thunderer"
37,"Captain of the Wind Witch"
38,"Captain of the Wraith"
39,"Captain"
40,"Captain-General"
41,"Castellan of Brightwater Keep"
42,"Castellan of Casterly Rock"
43,"Castellan of Dragonstone"
44,"Castellan of Grandview"
45,"Castellan of Harrenhal"
46,"Castellan of Karhold"
47,"Castellan of Last Hearth"
48,"Castellan of Pyke"
49,"Castellan of Storm's End"
50,"Castellan of Sunspear"
51,"Castellan of the Crag"
52,"Castellan of the Dreadfort"
53,"Castellan of the Dun Fort"
54,"Castellan of Torrhen's Square"
55,"Castellan of Winterfell"
56,"Castellan"
57,"Chief Undergaoler"
58,"Commander of Eastwatch-by-the-Sea"
59,"Commander of the City Watch Lord of Harrenhal"
60,"Commander of the City Watch of King's Landing"
61,"Commander of the City Watch"
62,"Commander of the garrison at White Harbor"
63,"Commander of the Second Sons"
64,"Commander of the Warrior's Sons"
65,"Commander"
66,"Conqueror of Deepwood Motte"
67,"Cupbearer"
68,"Defender of the Citadel"
69,"Defender of the Dispossessed"
70,"Defender of the Fords"
71,"Defender of the Marches"
72,"Defender of the Vale"
73,"Dowager Lady of Highgarden"
74,"Dowager Queen"
75,"Elder Brother"
76,"Father of the Faithful"
77,"First Builder"
78,"First Ranger (self-styled)"
79,"First Ranger"
80,"First Steward"
81,"First Sword of Braavos"
82,"First Sword to the Sealord of Braavos"
83,"Godswife"
84,"Good Master"
85,"Goodman"
86,"Goodwife"
87,"Grand admiral (master of ships)"
88,"Grand admiral"
89,"Grand Maester"
90,"Grand Master"
91,"Green Grace"
92,"Hand of the King (possibly)"
93,"Hand of the King"
94,"Hand of the Queen (self-styled)"
95,"Hand of the Queen"
96,"Hand of the True King"
97,"Harlaw of Harlaw"
98,"Heir to Lordsport"
99,"Heir to Winterfell"
100,"High King of the First Men"
101,"High King of the Iron Islands"
102,"High King of the Iron Isles"
103,"High Marshal of the Reach"
104,"High Septon"
105,"High Steward of Highgarden"
106,"High Steward of the Vale"
107,"His High Holiness"
108,"Horn-blower and Breaker of Ice"
109,"Husband to Bears"
110,"Iron King"
111,"Justiciar"
112,"Keeper of the Gates of the Moon"
113,"Keeper of the Night Lamp"
114,"Khal"
115,"Khalakka"
116,"Khaleesi of the Great Grass Sea"
117,"King in the North (former)"
118,"King in the North"
119,"King of All Westeros"
120,"King of Astapor"
121,"King of Meereen"
122,"King of Mountain and Vale"
123,"King of Salt and Rock"
124,"King of the Andals"
125,"King of the Andals, the Rhoynar and the First Men (claimant)"
126,"King of the Andals, the Rhoynar and the First Men"
127,"King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm"
